# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"2","A2","20","cel-miR-39-3p","0.8033406138420105","0.004583982352455337","NTC","false"
"2","A2","21","cel-miR-39-3p","0.8029919266700745","0.003265914079305273","NTC","false"
"2","A2","22","cel-miR-39-3p","0.8023357391357422","0.00164034544375908","NTC","false"
"2","A2","23","cel-miR-39-3p","0.8050253391265869","0.003360564333389778","NTC","false"
"2","A2","24","cel-miR-39-3p","0.810443639755249","0.00780948386083797","NTC","false"
"2","A2","25","cel-miR-39-3p","0.809068500995636","0.005464964000010905","NTC","false"
"2","A2","26","cel-miR-39-3p","0.8058835864067078","0.001310668309868764","NTC","false"
"2","A2","27","cel-miR-39-3p","0.8062943816184998","7.520824204468387E-4","NTC","false"
"2","A2","28","cel-miR-39-3p","0.8104858994483948","0.00397421914912783","NTC","false"
"2","A2","29","cel-miR-39-3p","0.8088964819908142","0.0014154205903333457","NTC","false"
"2","A2","30","cel-miR-39-3p","0.8110605478286743","0.0026101053269794246","NTC","false"
"2","A2","31","cel-miR-39-3p","0.8097856044769287","3.657808740199017E-4","NTC","false"
"2","A2","32","cel-miR-39-3p","0.8100190758705139","-3.7012883360892175E-4","NTC","false"
"2","A2","33","cel-miR-39-3p","0.8092669248580933","-0.0020916609472434937","NTC","false"
"2","A2","34","cel-miR-39-3p","0.8104887008666992","-0.0018392660398514542","NTC","false"
"2","A2","35","cel-miR-39-3p","0.8047189116477966","-0.008578436359968071","NTC","false"
"2","A2","36","cel-miR-39-3p","0.8030139207839966","-0.011252808324982037","NTC","false"
"2","A2","37","cel-miR-39-3p","0.8077407479286194","-0.007495362281573262","NTC","false"
"2","A2","38","cel-miR-39-3p","0.8152803182601929","-9.251730512136938E-4","NTC","false"
"2","A2","39","cel-miR-39-3p","0.814673662185669","-0.0025012102269515372","NTC","false"
"2","A2","40","cel-miR-39-3p","0.8132264018058777","-0.004917851707956825","NTC","false"
"3","A3","1","cel-miR-39-3p","0.7729195356369019","-0.013748001803601115","NTC","false"
"3","A3","2","cel-miR-39-3p","0.7729238271713257","-0.014626786247030042","NTC","false"
"3","A3","3","cel-miR-39-3p","0.7736203670501709","-0.01481332234603747","NTC","false"
"3","A3","4","cel-miR-39-3p","0.7776519060134888","-0.011664859360572353","NTC","false"
"3","A3","5","cel-miR-39-3p","0.7847861051559448","-0.005413736195968941","NTC","false"
"3","A3","6","cel-miR-39-3p","0.7892871499061584","-0.0017957674236080729","NTC","false"
"3","A3","7","cel-miR-39-3p","0.7924814224243164","5.154291166972431E-4","NTC","false"
"3","A3","8","cel-miR-39-3p","0.7933486104011536","4.995411156816471E-4","NTC","false"
"3","A3","9","cel-miR-39-3p","0.7946832180023193","9.510727389947755E-4","NTC","false"
"3","A3","10","cel-miR-39-3p","0.7947202324867249","1.0501124554753891E-4","NTC","false"
"3","A3","11","cel-miR-39-3p","0.7937583327293396","-0.0017399644896903582","NTC","false"
"3","A3","12","cel-miR-39-3p","0.7982107996940613","0.0018294264971785673","NTC","false"
"3","A3","13","cel-miR-39-3p","0.7998992800712585","0.00263483089652319","NTC","false"
"3","A3","14","cel-miR-39-3p","0.8005546927452087","0.002407167592620631","NTC","false"
"3","A3","15","cel-miR-39-3p","0.8049256801605225","0.005895079030081709","NTC","false"
"3","A3","16","cel-miR-39-3p","0.8050182461738586","0.005104569065565136","NTC","false"
"3","A3","17","cel-miR-39-3p","0.8037613034248352","0.0029645503386890554","NTC","false"
"3","A3","18","cel-miR-39-3p","0.8038904070854187","0.0022105780214197973","NTC","false"
"3","A3","19","cel-miR-39-3p","0.8064291477203369","0.003866242678485367","NTC","false"
"3","A3","20","cel-miR-39-3p","0.8086674213409424","0.005221440321238082","NTC","false"
"3","A3","21","cel-miR-39-3p","0.8097239136695862","0.005394856672029238","NTC","false"
"3","A3","22","cel-miR-39-3p","0.812924861907959","0.007712728932549397","NTC","false"
"3","A3","23","cel-miR-39-3p","0.8142537474632263","0.008158538509963977","NTC","false"
"3","A3","24","cel-miR-39-3p","0.8134954571723938","0.0065171722412788145","NTC","false"
"3","A3","25","cel-miR-39-3p","0.8113143444061279","0.003452983497160191","NTC","false"
"3","A3","26","cel-miR-39-3p","0.8126322031021118","0.0038877662152914344","NTC","false"
"3","A3","27","cel-miR-39-3p","0.8119474649429321","0.0023199520782589927","NTC","false"
"3","A3","28","cel-miR-39-3p","0.8109959959983826","4.8540715585678915E-4","NTC","false"
"3","A3","29","cel-miR-39-3p","0.8100774884223938","-0.0013161763979847346","NTC","false"
"3","A3","30","cel-miR-39-3p","0.8121115565299988","-1.651842682323972E-4","NTC","false"
"3","A3","31","cel-miR-39-3p","0.812340259552002","-8.195572240819775E-4","NTC","false"
"3","A3","32","cel-miR-39-3p","0.8124475479125977","-0.0015953448413389176","NTC","false"
"3","A3","33","cel-miR-39-3p","0.8110672235488892","-0.003858745182900168","NTC","false"
"3","A3","34","cel-miR-39-3p","0.8100807070732117","-0.005728337636430301","NTC","false"
"3","A3","35","cel-miR-39-3p","0.8096215724945068","-0.007070548192987889","NTC","false"
"3","A3","36","cel-miR-39-3p","0.8110089898109436","-0.0065662068544037645","NTC","false"
"3","A3","37","cel-miR-39-3p","0.8139005303382874","-0.004557742304912769","NTC","false"
"3","A3","38","cel-miR-39-3p","0.8169227242469788","-0.002418624374074006","NTC","false"
"3","A3","39","cel-miR-39-3p","0.8176141977310181","-0.0026102268678874535","NTC","false"
"3","A3","40","cel-miR-39-3p","0.8168612718582153","-0.004246228718542831","NTC","false"
"4","A4","1","cel-miR-39-3p","0.7756795883178711","-0.008237802860064331","1/100000000","false"
"4","A4","2","cel-miR-39-3p","0.775993287563324","-0.009282872860248276","1/100000000","false"
"4","A4","3","cel-miR-39-3p","0.7797741889953613","-0.006860740673847638","1/100000000","false"
"4","A4","4","cel-miR-39-3p","0.7837064266204834","-0.004287272294362394","1/100000000","false"
"4","A4","5","cel-miR-39-3p","0.7886923551559448","-6.601130045376829E-4","1/100000000","false"
