# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"29","C5","1/1/1000000000","10.0","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","35.64950207100625","35.64950207100625","0.7589602616956309","","","","true","0.03999999910593033","true","3","32","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"30","C6","1/1/1000000000","10.0","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","No Amp","Undetermined","35.64950207100625","0.0","","","","true","0.03999999910593033","true","3","39","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"37","D1","1/1000","1.0E8","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","16.973362957267177","17.006233516776977","0.7479017582941994","0.12320488523008077","","","true","0.03999999910593033","true","3","14","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"38","D2","1/1000","1.0E8","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","17.142539929348366","17.006233516776977","0.784636853793108","0.12320488523008077","","","true","0.03999999910593033","true","3","14","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"39","D3","1/1000","1.0E8","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","16.90279766371539","17.006233516776977","0.7530177335510777","0.12320488523008077","","","true","0.03999999910593033","true","3","14","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"49","E1","1/10000","1.0E7","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","20.256314243851442","20.4438741646299","0.8023417707609681","0.21341386086057995","","","true","0.03999999910593033","true","3","17","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"50","E2","1/10000","1.0E7","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","20.676078953339577","20.4438741646299","0.8609824272735397","0.21341386086057995","","","true","0.03999999910593033","true","3","18","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"51","E3","1/10000","1.0E7","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","20.399229296698685","20.4438741646299","0.8030178999641845","0.21341386086057995","","","true","0.03999999910593033","true","3","17","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"61","F1","1/100000","1000000.0","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","24.37688589993396","24.270385554962647","0.8813413014173561","0.09229294274712936","","","true","0.03999999910593033","true","3","21","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"62","F2","1/100000","1000000.0","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","24.220488690049073","24.270385554962647","0.8975840737383047","0.09229294274712936","","","true","0.03999999910593033","true","3","21","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"63","F3","1/100000","1000000.0","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","24.213782074904913","24.270385554962647","0.8967182823035756","0.09229294274712936","","","true","0.03999999910593033","true","3","21","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"73","G1","1/1000000","100000.0","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","28.389859804320068","28.205226900053884","0.8697069484236394","0.2245694586898547","","","true","0.03999999910593033","true","3","25","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"74","G2","1/1000000","100000.0","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","27.955225763271365","28.205226900053884","0.9080534227393633","0.2245694586898547","","","true","0.03999999910593033","true","3","25","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"75","G3","1/1000000","100000.0","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","28.270595132570215","28.205226900053884","0.8876136007574459","0.2245694586898547","","","true","0.03999999910593033","true","3","25","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"85","H1","1/10000000","10000.0","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","30.806716065264567","30.978386912442925","0.9067218099681322","0.16555519361217202","","","true","0.03999999910593033","true","3","28","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"86","H2","1/10000000","10000.0","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","31.137060254068174","30.978386912442925","0.9092192086637845","0.16555519361217202","","","true","0.03999999910593033","true","3","28","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"87","H3","1/10000000","10000.0","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","30.991384417996024","30.978386912442925","0.890893456013799","0.16555519361217202","","","true","0.03999999910593033","true","3","28","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
