# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Well","Well Position","Cycle Number","FAM","ROX"
"4","A4","23","147639.95","181819.75"
"4","A4","24","147645.77","181991.03"
"4","A4","25","148166.92","181853.25"
"4","A4","26","148762.7","181846.0"
"4","A4","27","148937.81","182045.38"
"4","A4","28","149620.67","182230.84"
"4","A4","29","150740.97","182239.11"
"4","A4","30","153039.66","182383.48"
"4","A4","31","157281.9","182572.98"
"4","A4","32","164603.16","182459.75"
"4","A4","33","175124.83","182457.53"
"4","A4","34","188482.67","182421.42"
"4","A4","35","203914.23","182653.11"
"4","A4","36","219977.25","182611.06"
"4","A4","37","235794.44","182885.14"
"4","A4","38","251684.38","182825.36"
"4","A4","39","266021.56","182739.72"
"4","A4","40","278730.62","182805.95"
"5","A5","1","131247.6","172344.64"
"5","A5","2","131362.12","172433.66"
"5","A5","3","133039.45","173581.81"
"5","A5","4","135437.52","174750.45"
"5","A5","5","137109.64","175680.97"
"5","A5","6","138111.52","176505.28"
"5","A5","7","138916.9","177252.03"
"5","A5","8","139939.58","177652.8"
"5","A5","9","140624.44","177674.7"
"5","A5","10","140938.95","178173.55"
"5","A5","11","141037.72","178465.5"
"5","A5","12","142157.84","179023.06"
"5","A5","13","142478.89","179100.11"
"5","A5","14","142614.05","179056.19"
"5","A5","15","142783.48","179110.39"
"5","A5","16","142997.44","179326.92"
"5","A5","17","143336.84","179252.86"
"5","A5","18","143466.94","179567.4"
"5","A5","19","143545.97","179761.39"
"5","A5","20","143230.98","179599.61"
"5","A5","21","143130.11","179589.5"
"5","A5","22","143809.42","179385.2"
"5","A5","23","143891.36","179260.6"
"5","A5","24","144621.16","179101.61"
