"","well","efficiency","rsq","Target"
"1","A2",1.00063636428713,1,"hsa-miR-103a-2-5p"
"2","B1",1.12272362428769,0.999114866803669,"hsa-miR-186-5p"
"3","B10",1.0730499391947,0.999670349588624,"hsa-miR-29c-3p"
"4","B2",1.09781655658006,0.998752720323983,"hsa-miR-103a-2-5p"
"5","B3",1.18457246304653,0.99858296938715,"hsa-miR-361-5p"
"6","B5",1.01488457447632,0.997083592541856,"hsa-let-7f-5p"
"7","B6",1.0313486005838,0.999893200695338,"hsa-miR-3200-3p"
"8","B8",1.07097045038842,0.999550810495631,"hsa-let-7d-3p"
"9","B9",1.10902812650473,0.999619344376765,"hsa-miR-885-5p"
"10","C10",1.07173095833112,0.999554376624128,"hsa-miR-29c-3p"
"11","C3",1.18497936078262,0.999248663078006,"hsa-miR-361-5p"
"12","C5",1.01582085486434,0.998742484829263,"hsa-let-7f-5p"
"13","C6",1.03128019744802,0.999901430219292,"hsa-miR-3200-3p"
"14","C7",1.15413917562984,0.99959941808799,"hsa-miR-151a-3p"
"15","C8",1.0620032034119,0.99988091400047,"hsa-let-7d-3p"
"16","C9",1.11679817557244,0.999759005985216,"hsa-miR-885-5p"
"17","D1",1.12789926847457,0.999030872987261,"hsa-miR-186-5p"
"18","D10",1.07794375811611,0.999568847868154,"hsa-miR-29c-3p"
"19","D2",1.03313748693051,0.998610386089377,"hsa-miR-103a-2-5p"
"20","D3",1.19001565200711,0.999400065231373,"hsa-miR-361-5p"
"21","D5",1.01649374992132,0.998243066670897,"hsa-let-7f-5p"
"22","D6",1.02824632895774,0.99968578862053,"hsa-miR-3200-3p"
"23","D8",1.06835536837441,0.999661860250986,"hsa-let-7d-3p"
"24","D9",1.13088873250174,0.99967156978871,"hsa-miR-885-5p"
"25","E1",1.1318920664649,0.999526034717905,"hsa-miR-186-5p"
"26","E10",1.08284271595001,0.999819739608374,"hsa-miR-29c-3p"
"27","E2",1.05596150889017,0.998187281773593,"hsa-miR-103a-2-5p"
"28","E3",1.19082993149485,0.999320019207957,"hsa-miR-361-5p"
"29","E4",1.11277929414577,0.998881200659419,"hsa-miR-425-3p"
"30","E5",1.01017284674949,0.99891401525881,"hsa-let-7f-5p"
"31","E6",1.05080541261073,0.999803469738135,"hsa-miR-3200-3p"
"32","E7",1.15795151004794,0.999272843083114,"hsa-miR-151a-3p"
"33","E8",1.07669266312031,0.999705189350512,"hsa-let-7d-3p"
"34","E9",1.12671762808658,0.999701547234469,"hsa-miR-885-5p"
"35","F10",1.0787236353591,0.999693272600245,"hsa-miR-29c-3p"
"36","F2",1.06281415236418,0.998602433459788,"hsa-miR-103a-2-5p"
"37","F3",1.1886384699915,0.998679299493307,"hsa-miR-361-5p"
"38","F4",1.10138879813913,0.999358138252599,"hsa-miR-425-3p"
"39","F5",1.01389085823773,0.999044348835892,"hsa-let-7f-5p"
"40","F6",1.04700494831467,0.999903818709625,"hsa-miR-3200-3p"
"41","F8",1.0857053854392,0.999356534563514,"hsa-let-7d-3p"
"42","F9",1.11864603079035,0.999690455764149,"hsa-miR-885-5p"
"43","G1",1.13034775703729,0.998839094501544,"hsa-miR-186-5p"
"44","G10",1.08471319545563,0.999782689845998,"hsa-miR-29c-3p"
"45","G2",1.09030527018538,0.998073569595851,"hsa-miR-103a-2-5p"
"46","G3",1.19112333202331,0.998650090987836,"hsa-miR-361-5p"
"47","G4",1.18105912398862,0.998510983087879,"hsa-miR-425-3p"
"48","G5",1.01786082944607,0.998481540196207,"hsa-let-7f-5p"
"49","G6",1.05475297009574,0.999684065097291,"hsa-miR-3200-3p"
"50","G8",1.1345662521619,0.999515036101072,"hsa-let-7d-3p"
"51","G9",1.11870530809307,0.99943827826627,"hsa-miR-885-5p"
"52","H1",1.1294807188763,0.999297973826584,"hsa-miR-186-5p"
